gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,avg_monthly_spend,services_count,is_new_customer,high_value_customer,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,1,1,0,20,1,1,94.55,1899.65,90.45952380952382,2,0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,26,1,1,69.5,1800.05,66.66851851851851,3,0,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,30,1,0,19.4,578.5,18.661290322580644,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,69,1,1,66.9,4577.9,65.39857142857143,4,0,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
1,0,1,1,63,1,1,89.4,5597.65,87.46328125,4,0,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,1,0,5,1,0,19.35,126.05,21.008333333333333,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0,39,1,1,20.45,790.0,19.75,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,1,4,1,1,101.7,364.55,72.91,2,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,0,60,1,0,101.15,6067.4,99.4655737704918,2,0,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False
1,0,1,1,19,1,0,103.3,2012.7,100.635,3,0,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,0,11,1,1,102.0,1145.35,95.44583333333333,2,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,0,0,31,1,1,99.95,3186.65,99.5828125,2,0,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,30,1,1,84.3,2438.6,78.66451612903225,3,0,0,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,53,1,0,24.6,1279.0,23.685185185185187,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,0,5,1,1,89.35,461.7,76.95,3,1,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,0,0,51,1,1,79.6,3974.7,76.43653846153846,2,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,71,1,0,89.3,6388.65,88.73124999999999,4,0,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,1,61,1,1,25.0,1498.35,24.166935483870965,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,1,0,0,8,1,1,74.5,606.55,67.39444444444445,2,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,10,1,1,54.95,568.85,51.71363636363637,4,1,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,0,12,0,1,49.85,617.15,47.473076923076924,1,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,1,0,66,1,0,63.85,4264.6,63.650746268656725,3,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,0,0,24,1,0,60.45,1440.75,57.63,4,0,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,1,1,4,1,0,56.5,235.1,47.019999999999996,3,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0,0,0,4,1,1,88.95,355.2,71.03999999999999,2,1,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,1,35,1,0,55.6,2016.45,56.0125,3,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
0,1,0,0,45,1,1,85.7,3778.1,82.13260869565217,4,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0,65,1,1,110.0,7138.65,108.16136363636363,4,0,1,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False
0,0,1,1,14,1,1,80.9,1152.8,76.85333333333332,2,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,1,61,0,1,50.7,3088.75,49.818548387096776,3,0,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
1,0,1,1,68,1,0,80.35,5375.15,77.90072463768115,3,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,0,1,1,23,1,1,57.75,1282.85,53.45208333333333,4,0,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0,0,0,55,1,1,81.55,4509.5,80.52678571428571,2,0,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,69,1,0,24.45,1718.2,24.545714285714286,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,0,7,1,0,81.25,580.1,72.5125,4,1,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,1,1,72,1,0,79.05,5730.7,78.5027397260274,3,0,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,1,1,61,1,1,49.7,2961.4,47.76451612903226,3,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,64,1,0,80.3,5017.7,77.19538461538461,3,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,1,1,0,32,1,1,93.2,2931.0,88.81818181818181,2,0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,1,1,1,79.55,79.55,39.775,2,1,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,3,1,1,82.3,214.4,53.6,4,1,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,0,1,3,1,0,20.2,50.6,12.65,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,1,0,72,1,1,84.4,6096.45,83.51301369863013,4,0,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,1,26,0,1,29.8,786.5,29.12962962962963,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,39,1,1,100.45,3801.7,95.04249999999999,3,0,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False
0,0,0,0,1,1,0,19.55,19.55,9.775,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,1,1,1,19.5,19.5,9.75,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,1,56,1,0,88.9,4968.0,87.15789473684211,2,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
0,1,1,0,43,1,1,107.55,4533.9,103.04318181818181,3,0,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,0,1,1,1,0,25.4,25.4,12.7,3,1,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,29,1,0,70.9,1964.6,65.48666666666666,2,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
1,0,0,0,2,1,1,82.0,184.65,61.550000000000004,2,1,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,68,1,0,79.6,5461.45,79.15144927536231,2,0,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
1,0,1,1,67,1,1,89.55,6373.1,93.72205882352942,2,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,1,19,1,1,24.9,467.7,23.384999999999998,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,1,1,66,0,1,56.75,3708.4,55.34925373134328,1,0,0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
0,0,1,0,4,0,1,29.05,129.6,25.919999999999998,2,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,9,1,0,19.75,210.65,21.065,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,1,1,0,53,1,1,103.85,5485.5,101.58333333333333,2,0,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,23,1,1,19.5,470.2,19.591666666666665,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,50,1,0,108.55,5610.7,110.01372549019608,4,0,1,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False
1,0,0,0,2,1,0,74.95,151.75,50.583333333333336,2,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,59,1,0,20.35,1267.0,21.116666666666667,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,1,1,63,1,0,83.5,5435.0,84.921875,3,0,0,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
0,0,1,0,25,1,1,71.05,1837.7,70.68076923076923,4,0,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,0,0,14,1,1,80.45,1072.0,71.46666666666667,2,0,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,65,1,0,67.05,4309.55,65.29621212121212,3,0,0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
1,1,1,0,69,0,0,56.55,3952.65,56.46642857142857,2,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False
0,0,1,1,21,1,1,74.05,1565.7,71.16818181818182,2,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,43,1,1,91.25,4013.8,91.22272727272728,4,0,1,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
1,1,1,0,71,1,1,92.0,6585.2,91.46111111111111,4,0,1,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
1,0,0,1,19,0,1,25.35,566.1,28.305,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,40,1,0,19.65,830.25,20.25,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,9,1,1,83.3,803.3,80.33,2,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,58,1,1,103.25,6017.65,101.99406779661017,2,0,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False
0,0,0,0,1,1,0,19.9,19.9,9.95,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,0,1,1,47,1,1,113.45,5317.8,110.78750000000001,4,0,1,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
0,0,1,0,58,1,1,84.3,4916.4,83.32881355932203,4,0,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
1,0,0,0,40,1,1,102.65,4108.15,100.19878048780487,2,0,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
0,0,0,0,41,1,1,68.6,2877.05,68.50119047619049,3,0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False
1,0,1,0,67,1,1,100.9,6733.15,99.01691176470588,3,0,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False
1,1,0,0,34,1,1,99.85,3343.15,95.51857142857143,2,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
1,0,0,0,3,1,1,19.1,53.05,13.2625,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,1,0,60,1,1,116.05,6925.9,113.53934426229507,4,0,1,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,1,0,0,8,1,1,92.1,729.95,81.10555555555555,2,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,15,1,1,74.9,1107.25,69.203125,2,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,68,1,1,102.1,7149.35,103.61376811594204,3,0,1,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
1,1,1,0,71,1,0,25.45,1789.65,24.856250000000003,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,58,1,1,79.8,4526.85,76.72627118644068,3,0,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0,0,2,1,0,19.2,37.2,12.4,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,1,1,14,1,1,89.65,1208.35,80.55666666666666,3,0,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,0,1,0,71,1,1,20.9,1493.2,20.73888888888889,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,14,1,1,100.55,1415.55,94.36999999999999,2,0,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,6,0,0,50.95,307.6,43.94285714285714,3,1,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
1,0,1,1,15,1,1,69.5,1071.4,66.9625,3,0,0,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True
1,0,1,1,57,1,1,97.55,5598.0,96.51724137931035,2,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False
0,0,0,0,66,1,1,61.15,4017.45,59.96194029850746,3,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1,1,1,0,69,1,1,89.95,6143.15,87.75928571428571,2,0,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0,68,1,0,55.9,3848.8,55.77971014492754,4,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,1,0,1,56,1,0,94.8,5264.3,92.3561403508772,3,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
1,1,0,0,35,1,1,99.05,3395.8,94.32777777777778,2,0,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,43,1,0,56.15,2499.3,56.80227272727273,2,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,1,0,31,1,1,66.4,2019.8,63.11875,3,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
0,0,1,1,33,1,1,58.45,1955.4,57.51176470588236,3,0,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,0,0,1,1,1,69.35,69.35,34.675,2,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,44,1,0,100.1,4378.35,97.29666666666668,3,0,1,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,1,1,57,1,0,53.45,3053.0,52.63793103448276,3,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,0,0,1,70,1,0,64.95,4551.5,64.1056338028169,4,0,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
1,0,0,0,1,1,0,20.55,20.55,10.275,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,0,1,1,55,1,1,55.25,3119.9,55.7125,3,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
1,1,1,0,29,1,1,94.45,2653.65,88.455,2,0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,33,1,1,60.9,2033.85,59.81911764705882,3,0,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,1,0,4,1,0,74.95,308.7,61.739999999999995,2,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,70,0,1,40.05,2799.75,39.433098591549296,2,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
1,0,0,0,35,1,1,25.6,901.25,25.03472222222222,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,0,2,1,1,45.85,105.6,35.199999999999996,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,1,0,10,1,1,89.8,914.3,83.11818181818181,2,1,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,1,1,1,1,0,74.6,74.6,37.3,2,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
